Sebep Kod,Sebep Açıklama,Zorunlu Alan,Sebep Nevi
116,657 S.K. GEREĞİ ASKERLİK DÖNÜŞÜ GÖREVE BAŞLAMA,Başlama Tarihi,1
117,GEÇİCİ GÖREVLENDİRME,Bitiş Tarihi,6
118,GEÇİCİ GÖREVLENDİRME DÖNÜŞÜ GÖREVE BAŞLAMA,Başlama Tarihi,5
119,VEKALETEN ATANMA (GÖREVDE İKEN),Başlama Tarihi,5
120,VEKALETEN ATANMA İPTALİ (GÖREVDE İKEN),Bitiş Tarihi,6
121,UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
122,SINIF DEĞİŞİKLİĞİ (657 S.K. 71. MADDE GEREĞİ),Başlama Tarihi,5
123,SINIF VE UNVAN DEĞİŞİKLİĞİ,Başlama Tarihi,5
124,VEKİL OLARAK ATANMA,Başlama Tarihi,1
125,EMEKLİLİK ONAYI İPTAL GÖREVE İADE,Başlama Tarihi,1
126,657 S.K. 4/B SÖZLEŞMELİDEN İDARİ KADROYA GEÇİŞ,Başlama Tarihi,1
127,657 S.K. 4/B SÖZLEŞMELİDEN AKADEMİK KADROYA GEÇİŞ,Başlama Tarihi,1
128,AKADEMİK KADRODAN İDARİ KADROYA GEÇİŞ,Başlama Tarihi,5
129,İDARİ KADRODAN AKADEMİK KADROYA GEÇİŞ,Başlama Tarihi,5
130,UNVAN VE POZİSYON DEĞİŞİKLİĞİ,Başlama Tarihi,5
131,AÇIĞA ALINDI,Bitiş Tarihi,2
132,AÇIK SÜRESİ SONUNDA (657/143. MD. GEREĞİ) GÖREVE İADE EDİLDİ,Başlama Tarihi,1
133,GÖREVİNE SON VERİLDİ,Bitiş Tarihi,2
134,MAHKEME KARARI GEREĞİNCE GÖREVE İADE EDİLDİ,Başlama Tarihi,1
135,YÜKSEK DİSİPLİN KURULU KARARI GEREĞİNCE GÖREVİNE SON VERİLDİ,Bitiş Tarihi,2
136,1402 S.K. GEREĞİNCE GÖREVİNE SON VERİLDİ,Bitiş Tarihi,2
137,SAKINCASI KALDIRILDIĞINDAN GÖREVİNE İADE EDİLDİ,Başlama Tarihi,1
138,DANIŞTAY İÇTİHADLERİ BİR. KUR. 07.12.1989 TAR. KARARI GER. GÖREVE İADE EDİLDİ,Başlama Tarihi,1
139,YÜKSEK DİSİPLİN KURULU KARARI İPTAL EDİLMESİ ÜZERİNE GÖREVİNE İADE EDİLDİ,Başlama Tarihi,1
140,GÖREV SÜRESİ UZATILMADIĞINDAN AYRILDI,Bitiş Tarihi,2
141,ASKERLİK DÖNÜŞÜ MÜSTAFİ,Bitiş Tarihi,2
142,SÖZLEŞMELİ OLARAK ATANMA (5434 TABİ),Başlama Tarihi,1
143,SÖZLEŞME YENİLENMESİ,Başlama Tarihi,5
144,HİZMET SÖZLEŞMESİ FESHEDİLDİ,Bitiş Tarihi,2
145,SÖZLEŞMELİDEN İSTİFA,Bitiş Tarihi,2
146,4046 S.K. 22. VE GEÇ.9. MD. UYARINCA ATANMA,Başlama Tarihi,5
147,5434 S.K. EK 72. MD. GEREĞİ E.K.E.A. YÜKSELTİLMESİ (AYLIKSIZ İZİN),Başlama Tarihi,5
148,DEVLET MEMURLUĞUNDAN ÇIKARMA,Bitiş Tarihi,2
149,MEMURİYETTEN MEN,Bitiş Tarihi,2
150,MESLEKTEN ÇIKARMA,Bitiş Tarihi,2
151,KAMU GÖREVİNDEN ÇIKARILMA,Bitiş Tarihi,2
152,GÖREV YAPTIĞI YERDE SIKIYÖNETİMİN KALDIRILMASI NEDENİYLE GÖREVE İADE EDİLDİ,Başlama Tarihi,1
153,657 S.K. 48. VE 98. MD. GEREĞİNCE İLİŞİK KESME,Bitiş Tarihi,2
154,ATANMA SEBEBİYLE KADRO DEĞİŞİKLİĞİ,Başlama Tarihi,5
155,RÜTBE TERFİ SEBEBİYLE KADRO DEĞİŞİKLİĞİ,Başlama Tarihi,5
156,657 S.K. 64. MD. 527 S.K.H.K. DERECE İLERLEMESİ,Başlama Tarihi,5
157,657 S.K. 64. MD. 527 S.K.H.K. KADEME İLERLEMESİ,Başlama Tarihi,5
158,657 S.K. 64. MD. 527 S.K.H.K. (MAHKEME KARARI),Başlama Tarihi,5
159,657 S.K. 64. MD. 418 S.K.H.K. DERECE İLERLEMESİ,Başlama Tarihi,5
160,657 S.K. 64. MD. 418 S.K.H.K. KADEME İLERLEMESİ,Başlama Tarihi,5
161,657 S.K. 64. MD. 418 S.K.H.K. (MAHKEME KARARI),Başlama Tarihi,5
162,1327 S.K. GÖRE İNTİBAK,Başlama Tarihi,5
163,2 S.K.H.K. GÖRE İNTİBAK,Başlama Tarihi,5
164,657 S.K. 37. MD. DERECE YÜK. VE 527 S.K.H.K. İLERLEME,Başlama Tarihi,5
165,1897 S.K. İNTİBAKI YAPILDI (01.03.1975),Başlama Tarihi,5
166,241 S.K.H.K. NİN 15. MADDESİNE GÖRE İNTİBAK (01.03.1982),Başlama Tarihi,5
167,"457,458,459 S.K.H.K. UYA. 1 DERECE YÜKSELTİLMESİ (15.10.1991) (MAHKEME KARARI)",Başlama Tarihi,5
168,3817 S. AF KAN. GÖRE TERFİLERİ DÜZELTİLDİ,Başlama Tarihi,5
169,657 S.K.  GEÇİCİ 33. MD. GEREĞİ TERFİ,Başlama Tarihi,5
170,5525 S. KANUNA GÖRE AF (MAHKEME KARARI),Başlama Tarihi,5
171,657 S.K. GEÇİCİ 33. MD. VE 527 S.K.H.K. GEREĞİ TERFİ,Başlama Tarihi,5
172,657 S.K. GEÇİCİ 33. MD. VE 64. MD. (+90) GEREĞİ TERFİ,Başlama Tarihi,5
173,657 S.K. GEÇİCİ 33. MD. VE 64. MD. (+90) VE 527 S.K.H.K. GEREĞİ TERFİ,Başlama Tarihi,5
174,657 S.K. GEÇİCİ 33. MD. GEREĞİ TERFİ (MAHKEME KARARI),Başlama Tarihi,5
175,3249 S. AF KANUNUNA GÖRE TERFİLERİ DÜZELTİLDİ,Başlama Tarihi,5
176,ASALET TASTİKİ VE İNTİBAK (HİZMET DEĞERLENDİRİLDİ) (MAHKEME KARARI),Başlama Tarihi,5
177,4455 S. AF KANUNUNA GÖRE TERFİLERİ DÜZELTİLDİ,Başlama Tarihi,5
178,ASALET TASTİKİ VE ASKERLİK İLE ADAYLIK HİZMETİ DEĞERLENDİRİLDİ,Başlama Tarihi,5
179,ASALET TASTİKİ VE ASKERLİK İLE ADAYLIK HİZMETİ DEĞERLENDİRİLDİ. (MAHKEME KARARI),Başlama Tarihi,5
180,139 NOLU GENEL TEBLİĞE GÖRE TERFİLERİ DÜZELTİLDİ,Başlama Tarihi,5
181,ASKERLİK HİZMETİ İLE 4455 S. AF KANUNUNA GÖRE TERFİ,Başlama Tarihi,5
182,657 S.K. 37. MD. VE 139 NOLU GEN. TEB. GÖRE DERECE YÜKSELTİLMESİ,Başlama Tarihi,5
183,ASKERLİK HİZMETİ İNTİBAKINDA DEĞERLENDİRİLDİ (657/83. MAD.),Başlama Tarihi,5
184,ASALET TASTİKİ VE ASKERLİK İLE ADAYLIK HİZMETİ VE 4455 S. AF K. GÖRE TERFİ,Başlama Tarihi,5
185,657 S.K. 64. MD. VE 139 NOLU GEN. TEB. GÖRE TERFİ DÜZELTİLMESİ,Başlama Tarihi,5
186,657 S.K. 37. MD. GEREĞİ DERECE YÜKSELTİLMESİ (MAHKEME KARARI),Başlama Tarihi,5
187,5757 S. KANUNA GÖRE TERFİLERİ DÜZELTİLDİ,Başlama Tarihi,5
188,657 S.K. 71. MD. GEREĞİ HİZMET DEĞERLENDİRİLDİ,Başlama Tarihi,5
189,81 NOLU GENEL TEBLİĞ VE 5525 S. KAN. GÖRE TERFİLERİ YAPILDI,Başlama Tarihi,5
190,81 NOLU GENEL TEBLİĞ VE 4455 S. KAN. GÖRE TERFİLERİ YAPILDI,Başlama Tarihi,5
191,81 NOLU GENEL TEBLİĞE  GÖRE TERFİLERİ YAPILDI,Başlama Tarihi,5
192,ASALET TASTİKİ VE ADAYLIK HİZMETİ İLE 4455 S. AF K. GÖRE TERFİ,Başlama Tarihi,5
193,ASALET TASTİKİ VE 4455 S. AF K. GÖRE TERFİ,Başlama Tarihi,5
194,ASALET TASTİKİ VE ADAYLIK HİZMETİ DEĞERLENDİRİLDİ.,Başlama Tarihi,5
195,HİZMET DEĞERLENDİRİLMESİ (MAHKEME KARARI GEREĞİ),Başlama Tarihi,5
196,SAĞLIK NEDENİYLE İLİŞİK KESME,Bitiş Tarihi,2
197,657 S.K. 56. MD. UYARINCA ADAYLIKTAN İLİŞİK KESME,Bitiş Tarihi,2
198,MAHKEME KARARI GEREĞİ İLİŞİK KESME,Bitiş Tarihi,2
199,RE'SEN AYRILMA,Bitiş Tarihi,2
200,SİCİLEN AYRILMA,Bitiş Tarihi,2
201,MALULEN AYRILMA,Bitiş Tarihi,2
202,MAHKEME KARARI GEREĞİ İLİŞİK KESME (AF KANUNU),Bitiş Tarihi,2
203,MAHKEME KARARI GEREĞİ İLİŞİK KESME (EMEKLİLİK İŞLEMİ),Bitiş Tarihi,2
204,MAHKEME KARARI GEREĞİ İLİŞİK KESME (DEVLET MEMURLUĞUNDAN ÇIKARMA),Bitiş Tarihi,2
205,MAHKEME KARARI GEREĞİ İLİŞİK KESME (MÜSTAFİ),Bitiş Tarihi,2
206,MAHKEME KARARI GEREĞİ İLİŞİK KESME (657 S.D.M.K. 48-98. MAD.),Bitiş Tarihi,2
207,MAHKEME KARARI GEREĞİ İLİŞİK KESME (İSTİFA),Bitiş Tarihi,2
208,MAHKEME KARARI GEREĞİ İLİŞİK KESME (RE'SEN AYRILMA),Bitiş Tarihi,2
209,MAHKEME KARARI GEREĞİ İLİŞİK KESME (657 S.K. 56-57. MD.),Bitiş Tarihi,2
210,MAHKEME KARARI GEREĞİ İLİŞİK KESME ADAYLIKTAN İLİŞİK KESME),Bitiş Tarihi,2
211,MAHKEME KARARI GEREĞİ İLİŞİK KESME (MESLEKTEN ÇIKARMA),Bitiş Tarihi,2
212,NAKLEN TAYİN GİDEN (KAMU İDARESİ İÇİ) TERFİAN ATAMA,Bitiş Tarihi,6
213,TERFİAN ATAMA,Başlama Tarihi,5
214,İLK ATAMA,Başlama Tarihi,1
215,TENZİLİ RÜTBE,Başlama Tarihi,5
216,KADEME İLERLEMESİNİN DURDURULMASI (4 AY),Başlama Tarihi,5
217,KADEME İLERLEMESİNİN DURDURULMASI (6 AY),Başlama Tarihi,5
218,KADEME İLERLEMESİNİN DURDURULMASI (10 AY),Başlama Tarihi,5
219,KADEME İLERLEMESİNİN DURDURULMASI (16 AY),Başlama Tarihi,5
220,KADEME İLERLEMESİNİN DURDURULMASI (20 AY),Başlama Tarihi,5
221,GÖREVDEN UZAKLAŞTIRILDI,Bitiş Tarihi,2
222,GÖREVE İADE EDİLDİ (657 S.K. 143. MD. GEREĞİNCE),Başlama Tarihi,1
223,ASKERLİK DÖNÜŞÜ GÖREVE BAŞLAMA VE ASK. SÜRESİ İNTİBAKINDA DEĞERLENDİRİLDİ,Başlama Tarihi,1
224,GÖREVE İADE EDİLMEMESİNE İLİŞKİN İŞLEMİN MAH. KAR. İPTALİ ÜZERİNE GÖREVE İADE EDİLDİ,Başlama Tarihi,1
225,İLİŞİĞİ KESİLDİ,Bitiş Tarihi,2
226,MAHKEME KARARI GEREĞİNCE ATANMA,Başlama Tarihi,1
227,KOLEJ EMSALİ İNTİBAK DEĞERLENDİRME (EMNİYET HİZMETLERİ),Başlama Tarihi,5
228,657 S.K. 67.MD\243 S.K.H.K. (2595) TERFİLERİ DÜZELTİLDİ,Başlama Tarihi,5
229,EMEKLİLİK (AÇIKTAN VAZİFE MALULÜ),Bitiş Tarihi,2
230,EMEKLİLİK (ASKERDE İKEN VAZİFE MALULÜ),Bitiş Tarihi,2
231,EMEKLİLİK (YAŞ HADDİNDEN VAZİFE MALULÜ),Bitiş Tarihi,2
232,POLİS MEMURU YENİDEN TAYİNİ,Başlama Tarihi,1
233,İNTİBAK (MAHKEME KARARI GEREĞİ),Başlama Tarihi,5
234,MAHKEME KARARI GEREĞİNCE GÖREVE İADE EDİLDİ-NAKLEN TAYİN (KAMU İDARESİ İÇİ),Başlama Tarihi,1
235,MAHKEME KARARI GEREĞİ İLK ATAMA ONAYI İPTALİ,Bitiş Tarihi,2
236,İSTEKLE EMEKLİ- MAHKEME KARARI GEREĞİ İADE İ MEMURİYET İPTALİ,Bitiş Tarihi,2
237,TUTUKLULUK,Bitiş Tarihi,2
238,HAPİS,Bitiş Tarihi,2
239,657 S.K. GEÇ.31.MD. 331 S.K.H.K. İNTİBAKI DÜZELTİLDİ,Başlama Tarihi,5
240,EK GÖSTERGE DEĞİŞİKLİĞİ (KANUN HÜKMÜNE GÖRE),Başlama Tarihi,5
241,MAHKEME KARARI GEREĞİNCE EK GÖSTERGE DEĞİŞİKLİĞİ,Başlama Tarihi,5
242,SÖZLEŞMELİ HİZMETLER İNTİBAKINDA DEĞERLENDİRİLDİ,Başlama Tarihi,5
243,3817 S. AF KANUNUNA GÖRE GÖREVE İADE EDİLDİ,Başlama Tarihi,1
244,4045 S. AF KANUNUNA GÖRE GÖREVE İADE EDİLDİ,Başlama Tarihi,1
245,4455 S. AF KANUNUNA GÖRE GÖREVE İADE EDİLDİ,Başlama Tarihi,1
246,657 S.K. 36. MD. A BEND. 12-D FIK. (142 NOLU GENEL TEBLİĞE GÖRE),Başlama Tarihi,5
247,657 S.K. 36. MD. A BEND. 12-D FIK. (ÖĞR. DEĞ.) (KENDİ İNTİBAKI ESAS OLAN),Başlama Tarihi,5
248,657 S.K. 36. MD. A BEND. 12-D FIK. (ÖĞR. DEĞ.) (EMSAL İNTİBAKI ESAS OLAN),Başlama Tarihi,5
249,657 S.K. 141. MD. GEREĞİ AÇIKTA GEÇEN SÜRESİ  İNTİBAKINDA DEĞERLENDİRİLDİ,Başlama Tarihi,5
250,657 S.K. 241 S.K.H.K. EK GEÇİCİ 58 MD. GEREĞİ İNTİBAKI YAPILDI,Başlama Tarihi,5
251,657 S.K. 241 S.K.H.K. EK GEÇİCİ 59 MD. GEREĞİ İNTİBAKI YAPILDI,Başlama Tarihi,5
252,AÇIKTAN ATANMA (657 S.K 92. MD. GEREĞİ YENİDEN ATANMA),Başlama Tarihi,1
253,657 S.K. 243/9 EK 64. MD. 90 PUAN (6 YILLIK SİCİL ORT. İLE 1 KADEME) ALARAK DERECE İLERLEMESİ,Başlama Tarihi,5
254,EMEKLİLİK (5434 S.K. 12. MD. İSTEĞE BAĞLI İŞTİRAKÇİ İKEN),Bitiş Tarihi,2
255,HİZMET VE SINIF DEĞİŞİKLİĞİ,Başlama Tarihi,5
256,GEÇİCİ OLARAK DEVLET MEMURLUĞUNDAN MEN,Bitiş Tarihi,2
257,DEVREDİLEN KURUMLARDAN ATANMA,Başlama Tarihi,1
258,TENZİLEN ATAMA,Başlama Tarihi,5
259,657 S.K. 98/B FIK. GEREĞİNCE MEMURLUĞUN SONA ERMESİ,Bitiş Tarihi,2
260,4688 S.K. 18. MD. GEREĞİNCE HİZMET DEĞERLENDİRİLMESİ,Başlama Tarihi,5
261,ADAY MEMUR ÖĞRENİM DEĞİŞİKLİĞİ,Başlama Tarihi,5
262,VEKİL OLARAK ATANMA (BOŞ KADROYA),Başlama Tarihi,1
263,VEKİL OLARAK ATANMA (DOLU KADROYA),Başlama Tarihi,1
264,8 S.K.H.K. GÖRE İNTİBAK (01.06.1973),Başlama Tarihi,5
265,AÇIKTAN ATANMA (657/DEĞİŞİK 53.MD ENGELLİ YÖNETMELİĞİNE GÖRE),Başlama Tarihi,1
266,ATANMA (VEKİLLİK HİZMETİNDEN ADAY MEMURLUĞA GEÇİŞ),Başlama Tarihi,5
267,657 S.K. 108. MD. 1. FIKRA AYLIKSIZ İZİNE AYRILDI (HASTALIK NEDENİYLE),Bitiş Tarihi,2
268,657 S.K. 108. MD. 2. FIKRA AYLIKSIZ İZİNE AYRILDI (10 YILI TAMAMLAMA NED.),Bitiş Tarihi,2
269,657 S.K. 108. MD. 3. FIKRA AYLIKSIZ İZİNE AYRILDI (DOĞUM NEDENİYLE),Bitiş Tarihi,2
270,657 S.K. 108. MD. 4. FIKRA AYLIKSIZ İZİNE AYRILDI (GÖREVLİ ATAMA NED. EŞE),Bitiş Tarihi,2
271,657 S.K. 108. MD. 5. FIKRA AYLIKSIZ İZİN BİTİMİ MÜSTAFİ,Bitiş Tarihi,2
272,GÖREVE İADE EDİLDİ (GEÇİCİ OLARAK DEVLET MEMURLUĞUNDAN MEN SÜRESİ SONUNDA),Başlama Tarihi,1
273,2088 S.K. GÖRE İNTİBAKI (VEKİLLİK HİZMETİ DEĞ.) YAPILDI. 04.04.1977,Başlama Tarihi,5
274,1982 S.K. GÖRE İNTİBAKI (VEKİLLİK HİZMETİ DEĞ.) YAPILDI. 30.04.1979,Başlama Tarihi,5
